timestamp,country_residency,ip_country,important_score
1713716146,,Slovenia,0
1713716155,,France,0
1713716235,,Poland,0
1713716330,Portugal,Portugal,0
1713716358,,Cote D'ivoire,0
1713716432,,United Kingdom of Great Britain and Northern Ireland,0
1713716551,,Japan,0
1713716565,,Algeria,0
1713716798,,Germany,0
1713716907,,Turkey,0
1713717003,India,India,0
1713717060,,United States of America,0
1713717229,Israel,Israel,0
1713717277,,Lithuania,0
1713717310,,Greece,0
1713717320,,Canada,0
1713717323,,Australia,0
1713717358,,Peru,0
1713717541,,Israel,0
1713717549,Spain,Spain,0
1713717557,,New Zealand,0
1713717603,,Spain,0
1713717726,,Singapore,0
1713717727,,Germany,0
1713717733,,Spain,0
1713717745,,Canada,0
1713717846,,Lebanon,0
1713717894,,Spain,0
1713717901,,Sweden,0
1713717929,,Thailand,0
1713717970,,Belgium,0
1713718010,,Denmark,0
1713718064,Turkey,Turkey,0
1713718089,,United States of America,0
1713718098,Colombia,Colombia,0
1713718139,,Norway,0
1713718152,United Arab Emirates,United Arab Emirates,#REF!
1713718248,,Ghana,0
1713718356,,Nicaragua,0
1713718362,United States,United States of America,10
1713718393,Cyprus,Lebanon,0
1713718398,,Spain,0
1713718439,,Bulgaria,0
1713718440,,Oman,0
1713718444,Cambodia,Cambodia,0
1713718507,,United Arab Emirates,0
1713718578,,Austria,0
1713718670,,Singapore,0
1713718726,,United States of America,0
1713718771,,Portugal,0
1713718786,,Pakistan,0
1713718806,Colombia,Colombia,0
1713718807,,Colombia,0
1713718808,,Colombia,0
1713718827,,Belgium,0
1713718846,Indonesia,Indonesia,0
1713718850,,Netherlands,0
1713718965,,Pakistan,0
1713719001,,Belgium,0
1713719093,France,France,0
1713719261,,United States of America,0
1713719333,,Germany,0
1713719406,,Lithuania,0
1713719473,,Romania,0
1713719683,,France,0
1713719695,,Slovakia,0
1713719889,,South Africa,0
1713719907,,Germany,0
1713719935,,Canada,0
1713720020,,Spain,0
1713720089,,Italy,0
1713720097,,Norway,0
1713720122,,Germany,0
1713720124,,Netherlands,0
1713720243,,Netherlands,0
1713720245,,Switzerland,0
1713720263,,Sweden,0
1713720276,,Brazil,0
1713720289,,Poland,0
1713720349,United Kingdom,United Kingdom of Great Britain and Northern Ireland,0
1713720364,,Argentina,0
1713720370,,Norway,0
1713720415,,Bahamas,0
1713720426,,United States of America,0
1713720461,,Portugal,0
1713720468,,United Kingdom of Great Britain and Northern Ireland,0
1713720503,,United States of America,0
1713720524,,Hong Kong,0
1713720587,,Israel,0
1713720787,,Poland,0
1713720804,,United Kingdom of Great Britain and Northern Ireland,0
1713720894,,Belgium,0
1713720901,,Australia,0
1713721219,,France,0
1713721224,,Germany,0
1713721254,,Germany,0
1713721303,,Spain,0
1713721319,,Poland,0
1713721525,,United Arab Emirates,0
1713721632,,Germany,0
1713721663,,India,0
1713721677,,Ukraine,0
1713721709,,United States of America,0
1713721742,Venezuela,Venezuela (Bolivarian Republic of),0
1713721978,Venezuela,Venezuela (Bolivarian Republic of),0
1713721995,Venezuela,Venezuela (Bolivarian Republic of),0
1713722029,Australia,Australia,0
1713722084,Austria,Austria,0
1713722138,,North Macedonia,0
1713722152,,India,0
1713722249,,United Kingdom of Great Britain and Northern Ireland,0
1713722323,Czech Republic,Spain,0
1713722327,Italy,Italy,#REF!
1713722423,,Kazakhstan,0
1713722496,,Kazakhstan,0
1713722501,,Ghana,0
1713722508,,United States of America,0
1713722580,,Gibraltar,0
1713722662,,Germany,0
1713722704,United Kingdom,United Kingdom of Great Britain and Northern Ireland,0
1713722711,,Ukraine,0
1713722759,,Bulgaria,0
1713722885,,Switzerland,0
1713722901,Colombia,Colombia,75
1713722956,,Netherlands,0
1713723101,,United Kingdom of Great Britain and Northern Ireland,0
1713723136,,United States of America,0
1713723204,,Spain,0
1713723210,,United States of America,0
1713723272,,Netherlands,0
1713723352,,United States of America,0
1713723387,Italy,United States of America,0
1713723399,,Thailand,0
1713723461,Isle of Man,Isle of Man,0
1713723586,,South Africa,0
1713723744,,Denmark,0
1713723760,,Viet Nam,0
1713723888,,Italy,0
1713723902,,United Kingdom of Great Britain and Northern Ireland,0
1713724004,Italy,Italy,#REF!
1713724051,,Sweden,0
1713724106,,Turkey,0
1713724118,,United States of America,0
1713724273,,Switzerland,0
1713724317,,United Kingdom of Great Britain and Northern Ireland,0
1713724318,,United States of America,0
1713724337,,Lithuania,0
1713724353,,India,0
1713724535,Switzerland,Switzerland,0
1713724611,,Netherlands,0
1713724636,,Hungary,0
1713724657,,Poland,0
1713724739,,Algeria,0
1713724774,,Serbia,0
1713724782,,Netherlands,0
1713724875,,United Kingdom of Great Britain and Northern Ireland,0
1713724934,,Germany,0
1713724989,,Portugal,0
1713724991,,South Africa,0
1713724992,,Belarus,0
1713724996,,Canada,0
1713725018,,Germany,0
1713725045,,Lesotho,0
1713725064,,Cote D'ivoire,0
